Original_Row_Data,Violation_Type,Violation_Reason,Recommendation,Column_Affected,Value_Causing_Violation
"{'MOVIE_NAME': 'The Incredibles', 'Feauture': None, 'Award_status': 'Nominated'}",Completeness,One or more columns (Feauture) have null values.,Investigate source system and consider imputing or removing nulls.,Feauture,NULL
"{'MOVIE_NAME': None, 'Feauture': 'Original Song', 'Award_status': 'Nominated'}",Completeness,One or more columns (MOVIE_NAME) have null values.,Investigate source system and consider imputing or removing nulls.,MOVIE_NAME,NULL
"{'MOVIE_NAME': None, 'Feauture': None, 'Award_status': None}",Completeness,"One or more columns (MOVIE_NAME, Feauture, Award_status) have null values.",Investigate source system and consider imputing or removing nulls.,"MOVIE_NAME, Feauture, Award_status",NULL
"{'MOVIE_NAME': 'Interstellar', 'Feauture': None, 'Award_status': None}",Completeness,"One or more columns (Feauture, Award_status) have null values.",Investigate source system and consider imputing or removing nulls.,"Feauture, Award_status",NULL
"{'MOVIE_NAME': 'Elemental', 'Feauture': 'Adapted Screenplay', 'Award_status': 'Ineligible'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'cars', 'Feauture': 'Original Song', 'Award_status': 'Nominated'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Elemental', 'Feauture': 'Adapted Screenplay', 'Award_status': 'Ineligible'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Toy Story 2', 'Feauture': 'Original Screenplay', 'Award_status': 'Ineligible'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Toy Story 2', 'Feauture': 'Original Screenplay', 'Award_status': 'Ineligible'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
"{'MOVIE_NAME': 'Toy Story', 'Feauture': 'Animated Feature', 'Award_status': 'Award not yet introduced'}",Uniqueness,Duplicate entries found violating primary key rules (or general uniqueness).,Ensure uniqueness constraints are applied during ingestion or identify root cause of duplication.,All Columns (Row Duplicate),Entire Row
